,ct_mean,ct_std,el_mean,el_std,er_mean,er_std
149,0.0,0.0,10.0,0.0,13.301506341773152,1.9459014222361975e-15
150,24.0,0.0,100.0,0.0,-17.191549032822117,3.891802844472395e-15
151,0.0,0.0,100.0,0.0,-19.051214738128497,0.0
152,0.0,0.0,100.0,0.0,-18.512965207495103,0.0
153,3.0,0.0,100.0,0.0,-18.06225705603506,0.0
154,0.0,0.0,19.0,0.0,11.518702338349067,0.0
155,0.0,0.0,20.0,0.0,10.841953631530435,0.0
156,10.0,0.0,100.0,0.0,-18.195112450154728,0.0
157,0.0,0.0,100.0,0.0,-15.483656395829758,7.944109290391273e-16
158,0.0,0.0,17.0,0.0,12.38615633262852,1.9459014222361975e-15
159,0.0,0.0,100.0,0.0,-16.367371045428253,0.0
160,41.0,0.0,100.0,0.0,-17.44468181293199,0.0
161,29.0,0.0,100.0,0.0,-16.886160931949124,0.0
162,21.0,0.0,100.0,0.0,-16.62877063698197,0.0
163,56.0,0.0,100.0,0.0,-16.77747941503325,3.891802844472395e-15
164,0.0,0.0,24.0,0.0,12.222976427454986,0.0
165,0.0,0.0,17.0,0.0,12.482886532867056,0.0
166,50.0,0.0,100.0,0.0,-18.24011005193322,3.891802844472395e-15
167,34.0,0.0,100.0,0.0,-17.826833333260527,0.0
168,0.0,0.0,28.0,0.0,11.42158860666958,0.0
169,53.0,0.0,100.0,0.0,-18.31322856382483,3.891802844472395e-15
170,47.0,0.0,100.0,0.0,-18.81289910631639,0.0
171,20.0,0.0,100.0,0.0,-16.23978658760515,0.0
172,7.0,0.0,100.0,0.0,-15.760824985487016,1.9459014222361975e-15
173,26.0,0.0,100.0,0.0,-14.80837684676438,0.0
174,24.0,0.0,100.0,0.0,-17.21789294624773,0.0
175,0.0,0.0,100.0,0.0,-16.521606035535186,0.0
176,21.0,0.0,100.0,0.0,-16.843036171932408,0.0
177,56.0,0.0,100.0,0.0,-18.16016001975991,0.0
178,61.0,0.0,100.0,0.0,-17.752445186747018,3.891802844472395e-15
179,45.0,0.0,100.0,0.0,-14.713661620851388,0.0
180,24.0,0.0,100.0,0.0,-16.271642758269348,0.0
181,45.0,0.0,100.0,0.0,-15.473405484023791,0.0
182,40.0,0.0,100.0,0.0,-15.664656864413223,1.7763568394002505e-15
183,58.0,0.0,100.0,0.0,-18.946586605712056,0.0
184,59.0,0.0,100.0,0.0,-17.797738817190826,3.891802844472395e-15
185,0.0,0.0,34.0,0.0,11.054695781411628,1.9459014222361975e-15
186,48.0,0.0,100.0,0.0,-19.87865145919813,3.891802844472395e-15
187,0.0,0.0,30.0,0.0,11.87111291010048,0.0
188,0.0,0.0,36.0,0.0,8.741908062985962,0.0
189,61.0,0.0,100.0,0.0,-19.422442632426137,0.0
190,37.0,0.0,100.0,0.0,-17.89972994656224,3.891802844472395e-15
191,0.0,0.0,32.0,0.0,11.326804127743232,0.0
192,0.0,0.0,14.0,0.0,13.10775604723251,1.9459014222361975e-15
193,66.0,0.0,100.0,0.0,-17.843122277722745,0.0
194,31.0,0.0,100.0,0.0,-18.71763311660901,0.0
195,31.0,0.0,100.0,0.0,-17.677797795756394,0.0
196,44.0,0.0,100.0,0.0,-14.00721544161812,1.7763568394002505e-15
197,17.0,0.0,100.0,0.0,-15.42762446310078,1.9459014222361975e-15
